Timestamp,Temperature (°C),Humidity (%),Area planted (ha),Fertilizer Type,Soil type,Growth stage,Fertilizer Quantity (kg/ha),Application Timing (weeks)
2024-10-01,35.6,40.8,4.1,Urea,Silty,Vegetative,71.94,1
2024-10-01,22.3,67.9,1.41,Organic Compost,Sandy,Fruiting,38.58,4
2024-10-01,22.4,71.4,1.64,Urea,Loamy,Germination,11.74,4
2024-10-01,19.0,40.4,1.02,DAP,Silty,Flowering,26.6,1
2024-10-01,34.5,50.3,4.53,Urea,loamy,Fruiting,129.59,1
2024-10-01,23.0,64.4,3.36,NPK 15-15-15,Sandy,Germination,27.46,5
2024-10-01,32.8,76.9,4.66,Organic Compost,Clay,Harvesting,40.88,4
2024-10-01,27.7,57.3,3.75,Urea,Loamy,Harvesting,35.72,3
2024-10-02,25.9,77.7,1.83,Potash,loamy,Fruiting,56.02,3
2024-10-02,22.9,84.7,2.55,Organic Compost,loamy,Fruiting,73.53,5
2024-10-02,19.5,67.8,4.03,Urea,Loamy,Germination,28.12,4
2024-10-02,29.4,73.3,1.72,Urea,Loamy,Germination,15.54,4
2024-10-02,22.9,46.0,1.1,DAP,loamy,Harvesting,10.47,1
2024-10-02,24.4,44.2,3.07,Organic Compost,Silty,Germination,21.36,4
2024-10-02,31.0,65.2,4.97,NPK 15-15-15,loamy,Harvesting,43.25,4
2024-10-02,22.8,52.1,0.9,NPK 15-15-15,Silty,Flowering,22.71,4
2024-10-03,24.5,82.5,3.66,DAP,loamy,Harvesting,31.61,1
2024-10-03,18.1,57.8,4.24,DAP,Sandy,Fruiting,121.62,5
2024-10-03,23.8,82.6,1.16,Organic Compost,Clay,Fruiting,36.72,3
2024-10-03,29.4,83.5,3.95,Organic Compost,Silty,Flowering,101.94,4
2024-10-03,34.8,49.0,4.99,NPK 15-15-15,loamy,Germination,39.15,4
2024-10-03,21.8,75.9,4.19,Urea,Silty,Fruiting,119.01,3
2024-10-03,29.9,72.2,3.99,Urea,Silty,Harvesting,36.29,4
2024-10-03,34.6,79.1,2.21,Urea,Sandy,Harvesting,20.95,1
2024-10-04,22.5,69.9,1.0,Potash,Loamy,Harvesting,12.4,4
2024-10-04,24.0,75.8,0.71,Urea,Sandy,Vegetative,13.34,5
2024-10-04,30.4,49.9,2.0,DAP,loamy,Harvesting,16.4,1
2024-10-04,23.3,81.4,0.61,Urea,Clay,Flowering,14.74,4
2024-10-04,27.4,55.7,0.67,Urea,Silty,Flowering,14.79,1
2024-10-04,20.1,78.2,3.31,Urea,Clay,Vegetative,60.18,5
2024-10-04,28.1,83.1,1.31,DAP,Clay,Vegetative,24.92,4
2024-10-04,31.3,79.7,2.36,DAP,Silty,Germination,18.72,2
2024-10-05,30.7,75.8,2.97,Potash,Clay,Flowering,74.3,4
2024-10-05,30.1,62.0,4.84,Organic Compost,loamy,Fruiting,140.56,5
2024-10-05,24.3,60.6,1.03,Urea,Sandy,Harvesting,10.31,2
2024-10-05,22.3,45.3,1.99,NPK 15-15-15,loamy,Fruiting,57.32,2
2024-10-05,25.6,61.9,2.78,Urea,Clay,Harvesting,23.52,3
