Planting Date,Growth Stage (days),Temperature (°C),Humidity (%),Light Exposure (lux),Soil Moisture (%),Pesticide Used,Predicted Harvest Days
2024-04-24,46,25.0,73.5,1214.7,23.2,0,55
2024-04-22,53,37.1,84.5,1116.0,19.4,0,55
2024-01-09,46,29.0,70.1,588.5,18.0,0,55
2024-04-22,16,37.5,60.3,1350.9,19.6,0,55
2024-06-25,48,33.8,76.7,682.7,34.9,0,55
2024-03-18,36,34.6,66.6,424.7,37.9,0,55
2024-04-15,35,35.4,62.7,450.4,20.3,1,55
2024-04-14,23,25.6,60.6,1469.6,32.1,0,55
2024-06-18,51,28.5,67.5,618.8,16.7,1,55
2024-05-13,54,32.2,75.7,798.2,16.8,0,55
2024-03-12,52,20.5,80.7,877.8,17.9,1,55
2024-04-12,18,31.9,54.9,1307.3,32.8,0,55
2024-01-11,25,20.4,58.0,1045.3,40.9,0,55
2024-01-23,45,30.6,84.4,928.8,26.7,0,55
2024-01-23,58,23.7,64.9,1536.0,35.0,1,55
2024-03-12,42,23.6,70.4,1763.8,17.3,1,55
2024-03-02,34,37.9,61.1,716.2,37.3,0,55
2024-01-19,36,24.9,67.7,1143.5,27.8,1,55
2024-06-27,34,29.1,57.0,1328.8,24.4,0,55
2024-03-20,47,28.2,75.5,652.8,15.6,1,55
2024-04-07,57,37.3,74.7,1054.2,43.1,0,55
2024-06-21,18,29.4,59.6,606.8,19.5,1,55
2024-04-11,19,31.4,78.8,773.7,23.6,1,55
2024-06-20,30,27.3,49.5,668.7,22.4,1,55
2024-04-18,42,27.6,81.2,682.8,23.2,0,55
2024-03-22,50,23.2,79.1,1749.3,29.6,0,55
2024-01-11,53,25.4,47.5,1737.1,41.9,0,55
2024-06-27,23,24.2,67.8,1100.3,18.6,1,55
2024-01-08,53,22.2,77.3,861.0,32.5,0,55
2024-04-07,24,21.9,53.6,784.4,27.3,0,55
2024-05-12,59,37.1,57.7,993.3,35.5,1,55
2024-03-16,60,26.6,57.3,1303.6,42.2,0,55
2024-06-26,57,24.3,67.1,833.0,43.8,1,55
2024-05-28,30,35.4,60.5,1673.7,26.8,1,55
2024-01-27,30,25.4,79.4,624.3,28.2,1,55
2024-01-09,20,34.8,82.6,1059.5,27.4,1,55
2024-01-27,25,32.6,65.3,892.6,33.1,1,55
2024-06-01,18,31.5,52.3,1020.8,34.2,0,55
2024-02-21,34,25.6,48.3,621.0,30.5,1,55
2024-06-14,35,28.1,79.9,586.9,20.2,1,55
2024-02-03,41,26.6,60.7,928.2,40.0,1,55
2024-01-18,56,31.0,54.1,524.6,28.9,1,55
2024-01-13,54,27.7,55.4,524.7,26.0,0,55
2024-06-17,42,33.9,82.1,1558.2,29.8,1,55
2024-02-28,32,25.2,64.8,582.3,40.7,1,55
2024-06-22,27,27.5,61.3,604.3,23.7,1,55
2024-05-15,30,26.7,72.4,1041.4,15.3,1,55
2024-06-13,58,23.8,60.3,992.6,32.9,0,55
2024-05-02,18,26.0,54.4,1671.5,44.9,0,55
2024-03-17,54,26.9,84.1,1339.8,19.0,0,55
2024-02-09,25,29.1,82.2,1629.1,19.0,1,55
2024-04-05,31,22.1,46.8,579.0,41.2,1,55
2024-04-10,31,31.0,75.5,769.3,24.4,1,55
2024-06-16,24,30.0,81.9,1291.3,28.2,1,55
2024-01-08,26,20.6,55.4,1388.3,28.1,0,55
2024-04-12,60,30.1,63.3,557.5,36.6,1,55
2024-03-03,28,35.6,52.2,635.6,30.3,1,55
2024-06-19,28,30.5,83.9,1136.4,32.1,0,55
2024-02-25,46,32.2,80.5,436.3,35.4,0,55
2024-03-19,21,35.1,51.2,513.5,39.9,0,55
2024-06-09,53,31.8,58.2,461.4,33.7,0,55
2024-06-24,51,22.3,79.5,1522.2,23.5,0,55
2024-05-20,39,21.7,55.2,736.1,38.1,0,55
2024-01-28,28,22.9,76.2,798.9,37.6,1,55
2024-03-16,42,33.2,81.9,1665.2,33.1,1,55
2024-03-17,27,28.8,80.4,1067.0,31.9,0,55
2024-04-26,38,31.0,62.4,996.4,16.2,1,55
2024-06-08,56,32.4,51.2,1093.5,33.9,0,55
2024-04-14,20,36.3,64.1,608.0,18.8,1,55
2024-05-14,33,30.2,67.0,1684.2,30.4,0,55
2024-01-15,57,33.0,77.5,897.6,32.6,0,55
2024-06-22,44,23.2,52.3,950.1,17.5,1,55
2024-05-24,44,33.6,63.0,1531.0,25.2,1,55
2024-02-03,53,24.7,71.9,1007.3,15.5,0,55
2024-01-06,56,28.6,72.7,1616.3,44.0,0,55
2024-05-27,54,26.5,72.0,1366.4,26.8,1,55
2024-02-05,15,23.4,77.6,1374.4,20.6,0,55
2024-04-21,24,31.7,62.4,1276.5,38.7,1,55
2024-03-25,44,22.7,61.9,563.0,42.1,0,55
2024-04-01,43,30.5,53.1,1197.2,40.0,0,55
2024-01-04,55,35.3,62.3,982.0,29.9,1,55
2024-04-13,46,29.2,74.0,1709.4,42.2,0,55
2024-06-02,48,20.3,68.1,1174.6,23.0,0,55
2024-01-16,54,36.9,58.9,1376.5,15.6,1,55
2024-04-12,43,24.2,53.8,1672.7,25.2,0,55
2024-03-24,60,27.0,61.7,1717.7,34.6,1,55
2024-02-20,28,25.1,75.0,1333.9,18.9,1,55
2024-05-16,21,34.3,82.7,1091.2,22.0,0,55
2024-03-09,37,32.2,52.0,1603.2,30.1,0,55
2024-04-04,54,24.1,67.5,1080.9,44.8,1,55
2024-05-09,24,35.4,79.9,1246.0,18.1,0,55
2024-04-27,22,37.5,76.3,1253.5,40.8,0,55
2024-01-17,21,23.0,49.7,687.5,25.8,1,55
2024-05-16,21,22.8,59.5,1546.8,18.7,1,55
2024-04-25,15,24.4,77.4,877.8,30.2,0,57
2024-03-23,41,26.5,71.6,612.3,37.6,0,55
2024-02-26,42,27.4,61.4,1042.3,40.6,1,55
2024-04-05,15,32.9,65.7,497.4,25.1,0,55
2024-04-02,40,33.7,71.4,1298.1,42.1,0,55
2024-03-14,40,35.9,73.0,1623.0,36.6,1,55
2024-01-27,32,36.2,69.4,605.6,27.1,1,55
2024-05-26,54,31.7,72.9,1642.7,38.4,0,55
2024-03-03,17,29.7,60.6,1406.4,41.4,1,55
2024-01-17,50,25.6,58.6,1290.0,15.7,1,55
2024-03-24,42,37.8,49.4,483.9,26.2,1,55
2024-01-25,56,36.9,62.9,1201.4,15.2,1,55
2024-06-19,51,32.9,82.5,1331.7,40.3,1,55
2024-03-10,57,34.1,73.6,1341.4,36.4,1,55
2024-03-17,52,23.5,76.1,1036.0,19.4,0,55
2024-01-03,18,27.6,50.2,700.7,17.3,0,58
2024-05-17,40,35.7,68.4,1291.0,44.9,0,55
2024-02-05,47,22.3,73.4,581.1,36.1,0,55
2024-04-16,17,33.4,82.8,917.1,43.6,0,55
2024-01-12,51,25.2,65.9,564.8,24.1,1,55
2024-03-16,16,34.2,50.7,1225.5,16.5,1,55
2024-02-06,46,20.0,66.9,494.6,16.3,0,55
2024-03-19,43,36.2,76.3,1065.3,36.6,1,55
2024-05-21,44,33.7,71.7,608.6,36.8,0,55
2024-06-20,41,27.0,81.0,874.6,16.4,0,55
2024-06-03,25,32.7,67.9,1514.6,36.2,0,55
2024-01-07,54,29.8,75.3,1740.2,30.7,0,55
2024-01-04,57,36.9,52.2,426.6,38.6,1,55
2024-04-03,49,30.9,61.1,463.0,40.9,0,55
2024-04-06,41,20.4,66.1,934.8,17.7,0,55
2024-02-10,24,23.3,75.7,615.9,43.6,1,55
2024-05-11,26,20.5,47.3,945.9,24.6,0,55
2024-03-13,22,20.9,54.6,1235.8,22.1,0,55
2024-03-02,35,28.4,61.3,1077.8,27.2,1,55
2024-03-18,52,32.2,54.9,1176.6,38.6,1,55
2024-04-15,20,35.2,65.0,1496.0,19.3,1,55
2024-05-14,50,28.1,45.0,1050.5,39.9,1,55
2024-01-02,45,24.9,55.0,1352.0,45.0,1,55
2024-05-10,17,22.9,66.4,497.9,17.7,0,55
2024-06-18,32,35.8,53.4,1106.7,39.1,1,55
2024-06-15,32,24.4,84.3,878.3,28.8,1,55
2024-06-05,56,36.6,69.4,406.0,15.3,1,55
2024-05-23,60,28.8,60.7,513.6,41.3,0,55
2024-01-27,57,28.0,49.9,1760.9,26.3,1,55
2024-02-27,59,37.7,50.0,918.7,20.8,0,55
2024-06-01,32,32.2,73.4,668.1,39.5,1,55
2024-02-16,38,20.7,64.7,1385.7,33.2,0,55
2024-06-13,22,35.7,67.8,1091.6,31.6,1,55
2024-05-05,19,22.3,82.3,1597.7,41.4,1,55
2024-06-01,59,32.2,69.6,1353.0,41.5,0,55
2024-06-22,56,20.9,82.6,1005.6,44.9,1,55
2024-06-17,44,28.9,65.7,460.9,36.6,0,55
2024-04-18,43,25.7,60.7,868.6,41.4,0,55
2024-06-14,19,36.5,52.9,860.9,16.9,0,55
2024-04-14,16,30.7,70.1,868.0,22.5,0,56
2024-02-11,18,34.8,65.8,731.4,17.2,0,55
2024-06-15,52,22.2,84.0,1683.4,26.3,0,55
2024-01-26,43,21.0,69.4,1004.6,18.1,0,55
2024-01-10,39,27.2,69.7,975.6,40.9,0,55
2024-04-15,42,35.8,69.8,875.5,43.1,0,55
2024-05-11,52,23.5,49.1,1233.2,17.0,1,55
2024-02-21,47,24.6,61.8,1414.5,28.3,1,55
2024-01-02,23,25.6,62.4,1743.6,37.6,1,55
2024-05-25,24,22.7,57.3,880.1,26.1,0,55
2024-05-22,58,22.6,54.5,1546.9,31.8,0,55
2024-03-07,27,31.5,53.1,495.8,20.7,0,55
2024-05-23,36,35.3,67.6,869.9,24.0,1,55
2024-01-15,17,28.9,81.8,1294.3,35.8,0,56
2024-02-08,45,33.2,83.1,864.1,37.2,1,55
2024-02-27,15,26.5,47.9,442.0,18.5,1,61
2024-02-21,52,36.4,59.4,1765.4,21.0,1,55
2024-02-09,26,26.1,67.2,650.0,15.6,1,55
2024-01-27,58,22.5,71.2,1639.0,25.2,1,55
2024-04-08,38,34.6,71.4,1717.6,44.3,0,55
2024-01-05,23,34.3,52.7,929.5,26.2,0,55
2024-01-25,54,30.6,79.2,811.9,19.5,1,55
2024-06-26,32,35.7,79.1,1755.7,41.6,1,55
2024-04-26,57,31.1,51.7,943.4,41.5,1,55
2024-05-15,26,25.8,60.0,1372.3,36.5,0,55
2024-03-19,40,31.5,76.6,1309.6,21.2,1,55
2024-02-13,28,25.5,80.5,1199.9,43.1,1,55
2024-05-03,23,33.5,56.8,1126.3,21.9,0,55
2024-05-20,36,27.7,63.7,972.5,39.1,1,55
2024-04-01,26,28.0,55.6,506.2,42.0,1,55
2024-05-18,56,21.4,56.1,718.8,18.6,1,55
2024-05-07,36,23.5,58.2,823.8,39.5,1,55
2024-06-20,23,38.0,75.1,1435.7,42.4,0,55
2024-03-27,37,34.1,61.2,968.1,32.4,0,55
2024-06-17,24,35.6,54.1,1412.7,21.3,1,55
2024-05-26,50,33.6,73.9,1046.0,38.8,1,55
2024-04-25,59,27.5,62.5,1594.1,15.9,1,55
2024-02-10,15,29.0,71.4,896.5,21.8,0,57
2024-06-18,34,25.9,45.9,1499.5,42.7,1,55
2024-05-21,53,36.4,68.0,947.2,26.4,0,55
2024-05-13,27,28.5,58.2,1746.7,34.2,1,55
2024-02-04,58,30.0,46.3,1364.6,29.7,1,55
2024-01-13,33,23.7,56.6,1134.2,28.6,1,55
2024-01-06,35,35.5,61.4,619.8,18.3,0,55
2024-06-03,39,37.2,79.6,581.9,21.2,0,55
2024-02-20,51,36.9,68.5,1103.5,35.5,1,55
2024-01-05,43,21.2,61.0,1530.6,30.8,0,55
2024-04-19,17,33.3,56.5,1633.4,28.7,1,55
2024-05-27,26,27.5,52.2,1264.8,28.0,0,55
2024-06-19,21,27.1,82.8,735.6,41.1,1,55
2024-03-22,19,32.6,73.9,704.2,29.8,0,55
2024-01-25,21,29.1,76.2,974.1,19.9,1,55
2024-01-15,16,21.3,72.8,1449.6,26.4,0,55
2024-04-02,15,24.5,73.4,591.1,35.1,0,62
2024-04-03,20,29.9,54.7,1730.0,19.2,1,55
2024-02-27,16,30.9,52.1,573.8,37.2,1,55
2024-06-25,15,32.2,51.1,901.3,21.5,0,58
2024-02-15,59,20.9,70.4,1132.0,34.9,0,55
2024-06-10,43,20.9,45.2,1481.4,38.0,1,55
2024-02-07,20,20.3,46.1,420.4,39.6,0,55
2024-01-26,57,23.0,51.7,982.0,18.2,1,55
2024-05-21,27,31.2,82.4,953.1,27.8,1,55
2024-01-12,35,23.1,61.1,842.7,26.7,0,55
2024-01-22,32,31.7,59.8,494.3,21.6,1,55
2024-04-04,60,29.7,84.6,1590.7,20.1,0,55
2024-03-21,59,27.0,82.0,1480.0,19.0,1,55
2024-06-16,19,26.0,69.3,1219.1,26.5,1,55
2024-05-23,15,24.2,69.7,1655.5,24.3,0,55
2024-05-03,18,22.5,64.9,682.8,26.3,0,55
2024-06-20,43,33.3,58.1,789.4,34.3,0,55
2024-04-21,33,33.5,54.2,1426.0,25.3,1,55
2024-01-22,30,34.4,72.9,711.4,41.2,1,55
2024-04-21,15,21.2,64.7,1735.1,16.6,1,55
2024-02-03,26,30.7,78.2,1704.5,22.1,0,55
2024-06-15,34,23.0,52.9,993.6,33.2,1,55
2024-05-15,55,23.6,79.5,1073.6,43.5,1,55
2024-04-06,45,27.9,65.2,1428.9,37.8,0,55
2024-04-14,20,33.7,81.9,1233.3,19.6,1,55
2024-04-15,34,28.2,60.0,1248.4,17.2,1,55
2024-02-05,27,20.1,79.5,1422.5,26.2,0,55
2024-04-24,38,26.9,57.3,1782.5,17.1,0,55
2024-04-19,25,23.5,62.5,757.4,42.4,1,55
2024-06-16,55,32.4,72.9,1311.3,42.8,1,55
2024-04-02,38,31.4,72.1,1376.5,34.4,1,55
2024-04-22,24,24.6,69.1,1732.5,40.2,0,55
2024-01-21,60,36.5,60.9,1220.6,42.0,1,55
2024-02-27,42,24.6,57.1,1754.8,34.8,0,55
