Participant_ID,Age,Gender,Role,Experience_Years,Q1_Frequent_Use,Q2_Complexity,Q3_Ease_of_Use,Q4_Tech_Support_Need,Q5_System_Integration,Q6_Inconsistency,Q7_Quick_Learning,Q8_Cumbersome,Q9_Confidence,Q10_Learning_Curve,Calculated_SUS_Score,Overall_Satisfaction
P01,25,Male,Greenhouse Farmer,14,5,1,4,1,5,1,5,1,4,2,92.5,5
P02,43,Female,Agricultural Researcher,8,5,1,4,1,5,2,4,1,5,1,92.5,4
P03,24,Male,Agronomist,5,4,1,4,2,5,1,4,1,5,1,90.0,5
P04,52,Female,AgTech Consultant,21,5,1,5,1,5,1,4,1,5,1,97.5,5
P05,48,Male,AgTech Consultant,2,5,1,4,1,5,1,5,1,4,1,95.0,4
P06,46,Female,Agricultural Researcher,1,5,1,4,1,4,1,5,2,5,2,90.0,4
P07,40,Male,Agronomist,18,4,2,5,2,5,2,4,1,4,2,82.5,4
P08,34,Male,Agricultural Researcher,12,5,2,4,1,4,1,4,1,5,1,90.0,4
P09,49,Male,AgTech Consultant,13,4,1,4,1,4,1,4,1,5,1,90.0,4
P10,44,Male,Agronomist,14,4,2,5,2,4,1,5,2,5,1,87.5,5
P11,40,Male,Agricultural Researcher,5,5,1,5,1,5,1,4,2,4,2,90.0,4
P12,23,Male,Farm Operator,22,4,1,4,1,5,1,5,1,5,2,92.5,5
P13,43,Female,Greenhouse Farmer,18,5,2,5,1,4,1,5,2,5,1,92.5,5
P14,47,Male,AgTech Consultant,3,5,1,5,1,5,1,5,2,4,2,92.5,5
P15,27,Male,AgTech Consultant,18,5,1,5,1,5,2,4,1,5,1,95.0,5
P16,47,Female,AgTech Consultant,5,5,1,5,2,5,1,5,1,4,1,95.0,4
P17,45,Male,Agricultural Researcher,12,5,2,5,2,5,2,4,2,4,2,82.5,5
P18,33,Female,Farm Operator,12,4,1,4,1,5,1,5,1,4,1,92.5,5
P19,46,Male,Greenhouse Farmer,15,5,1,5,1,4,2,5,1,5,2,92.5,4
P20,54,Female,Agricultural Researcher,11,4,2,4,1,5,2,5,2,5,1,87.5,4
P21,56,Female,Agricultural Researcher,12,5,1,4,1,5,1,5,1,4,1,95.0,4
P22,36,Male,Agricultural Researcher,10,5,2,5,1,4,1,4,2,5,2,87.5,4
P23,39,Female,Agronomist,17,5,1,4,1,5,1,5,1,4,1,95.0,5
P24,56,Female,Agricultural Researcher,7,5,1,4,1,5,1,4,1,4,1,92.5,5
P25,44,Female,Farm Operator,5,5,2,5,1,5,2,4,2,4,1,87.5,4
P26,42,Female,Greenhouse Farmer,2,5,2,5,2,4,1,5,1,5,2,90.0,4
P27,45,Female,Farm Operator,8,4,2,5,1,5,1,5,2,4,1,90.0,4
P28,40,Female,Farm Operator,4,5,1,4,1,5,1,4,2,5,1,92.5,5
P29,45,Female,Farm Operator,2,4,1,4,2,4,1,5,2,5,1,87.5,5
P30,52,Female,Greenhouse Farmer,6,4,1,4,1,5,2,4,2,5,1,87.5,4
P31,25,Female,Greenhouse Farmer,15,4,2,4,1,5,2,5,2,4,1,85.0,5
P32,27,Male,Agricultural Researcher,11,4,1,5,1,4,1,4,1,5,1,92.5,5
P33,30,Female,Greenhouse Farmer,20,5,1,4,2,4,1,5,2,4,2,85.0,5
P34,44,Male,Greenhouse Farmer,12,5,1,5,1,5,2,5,1,4,1,95.0,5
P35,56,Female,Farm Operator,21,4,2,5,1,5,2,5,1,5,2,90.0,4
